,循环号,放电容量/Ah,矢量
57,57.0,0.8963931251512953,"[0, 1.1044444444444446, 0.16666666666666666, 1.0733333333333333, 0.16666666666666666, 0.8963931251512953]"
58,58.0,0.8943960300169449,"[0, 1.105, 0.16666666666666666, 1.0730555555555557, 0.16666666666666666, 0.8943960300169449]"
59,59.0,0.8932461873638342,"[0, 1.103888888888889, 0.16666666666666666, 1.0727777777777778, 0.16666666666666666, 0.8932461873638342]"
60,60.0,0.8920963447107235,"[0, 1.1041666666666667, 0.16666666666666666, 1.0727777777777778, 0.16666666666666666, 0.8920963447107235]"
61,61.0,0.8900992495763731,"[0, 1.1041666666666667, 0.16666666666666666, 1.0722222222222222, 0.16666666666666666, 0.8900992495763731]"
62,62.0,0.8681312030985229,"[0, 1.1041666666666667, 0.16666666666666666, 1.0686111111111112, 0.16666666666666666, 0.8681312030985229]"
63,63.0,0.8456184943113048,"[0, 1.1177777777777778, 0.16666666666666666, 1.0647222222222223, 0.16666666666666666, 0.8456184943113048]"
64,64.0,0.837206487533285,"[0, 1.1152777777777778, 0.16666666666666666, 1.0633333333333335, 0.16666666666666666, 0.837206487533285]"
65,65.0,0.8743040426046962,"[0, 1.103888888888889, 0.16666666666666666, 1.0697222222222222, 0.16666666666666666, 0.8743040426046962]"
66,66.0,0.8802953280077457,"[0, 1.1016666666666668, 0.16666666666666666, 1.0708333333333333, 0.16666666666666666, 0.8802953280077457]"
67,67.0,0.8809610263858625,"[0, 1.1022222222222222, 0.16666666666666666, 1.0708333333333333, 0.16666666666666666, 0.8809610263858625]"
68,68.0,0.8810820624546114,"[0, 1.1025, 0.16666666666666666, 1.0708333333333333, 0.16666666666666666, 0.8810820624546114]"
69,69.0,0.8819898329702252,"[0, 1.1016666666666668, 0.16666666666666666, 1.0711111111111111, 0.16666666666666666, 0.8819898329702252]"
70,70.0,0.8801742919389977,"[0, 1.1019444444444446, 0.16666666666666666, 1.0708333333333333, 0.16666666666666666, 0.8801742919389977]"
71,71.0,0.8508230452674894,"[0, 1.1116666666666668, 0.16666666666666666, 1.0658333333333334, 0.16666666666666666, 0.8508230452674894]"
72,72.0,0.8393246187363834,"[0, 1.1122222222222222, 0.16666666666666666, 1.0638888888888889, 0.16666666666666666, 0.8393246187363834]"
73,73.0,0.8324860808520942,"[0, 1.1125, 0.16666666666666666, 1.0627777777777778, 0.16666666666666666, 0.8324860808520942]"
74,74.0,0.8276446381021545,"[0, 1.1130555555555557, 0.16666666666666666, 1.0616666666666668, 0.16666666666666666, 0.8276446381021545]"
75,75.0,0.8576615831517787,"[0, 1.1080555555555556, 0.16666666666666666, 1.0669444444444445, 0.16666666666666666, 0.8576615831517787]"
76,76.0,0.8701282982328733,"[0, 1.0988888888888888, 0.16666666666666666, 1.0691666666666666, 0.16666666666666666, 0.8701282982328733]"
77,77.0,0.8719438392641008,"[0, 1.1, 0.16666666666666666, 1.0694444444444444, 0.16666666666666666, 0.8719438392641008]"
78,78.0,0.8722464294359717,"[0, 1.1, 0.16666666666666666, 1.0694444444444444, 0.16666666666666666, 0.8722464294359717]"
79,79.0,0.8707939966109892,"[0, 1.100277777777778, 0.16666666666666666, 1.0691666666666666, 0.16666666666666666, 0.8707939966109892]"
80,80.0,0.8700677801984984,"[0, 1.100277777777778, 0.16666666666666666, 1.0691666666666666, 0.16666666666666666, 0.8700677801984984]"
81,81.0,0.8476761074800292,"[0, 1.108888888888889, 0.16666666666666666, 1.0652777777777778, 0.16666666666666666, 0.8476761074800292]"
82,82.0,0.8402323892519963,"[0, 1.107777777777778, 0.16666666666666666, 1.0638888888888889, 0.16666666666666666, 0.8402323892519963]"
83,83.0,0.8370854514645361,"[0, 1.1072222222222223, 0.16666666666666666, 1.063611111111111, 0.16666666666666666, 0.8370854514645361]"
84,84.0,0.8600823045267489,"[0, 1.096111111111111, 0.16666666666666666, 1.0675, 0.16666666666666666, 0.8600823045267489]"
85,85.0,0.8622609537642214,"[0, 1.098611111111111, 0.16666666666666666, 1.0677777777777777, 0.16666666666666666, 0.8622609537642214]"
86,86.0,0.8629871701767131,"[0, 1.098611111111111, 0.16666666666666666, 1.0680555555555555, 0.16666666666666666, 0.8629871701767131]"
87,87.0,0.8616557734204786,"[0, 1.0988888888888888, 0.16666666666666666, 1.0677777777777777, 0.16666666666666666, 0.8616557734204786]"
88,88.0,0.8612321471798596,"[0, 1.0988888888888888, 0.16666666666666666, 1.0675, 0.16666666666666666, 0.8612321471798596]"
89,89.0,0.8589324618736374,"[0, 1.0994444444444444, 0.16666666666666666, 1.0672222222222223, 0.16666666666666666, 0.8589324618736374]"
90,90.0,0.844710723795691,"[0, 1.0991666666666666, 0.16666666666666666, 1.065, 0.16666666666666666, 0.844710723795691]"
91,91.0,0.8287339627208903,"[0, 1.1091666666666669, 0.16666666666666666, 1.0622222222222222, 0.16666666666666666, 0.8287339627208903]"
92,92.0,0.8225611232147179,"[0, 1.1075000000000002, 0.16666666666666666, 1.0611111111111111, 0.16666666666666666, 0.8225611232147179]"
93,93.0,0.8414427499394819,"[0, 1.1069444444444445, 0.16666666666666666, 1.0644444444444445, 0.16666666666666666, 0.8414427499394819]"
94,94.0,0.8497337206487527,"[0, 1.0963888888888889, 0.16666666666666666, 1.0658333333333334, 0.16666666666666666, 0.8497337206487527]"
95,95.0,0.8516097797143551,"[0, 1.0977777777777777, 0.16666666666666666, 1.0661111111111112, 0.16666666666666666, 0.8516097797143551]"
96,96.0,0.8513677075768573,"[0, 1.097222222222222, 0.16666666666666666, 1.0661111111111112, 0.16666666666666666, 0.8513677075768573]"
97,97.0,0.8507020091987414,"[0, 1.097222222222222, 0.16666666666666666, 1.0661111111111112, 0.16666666666666666, 0.8507020091987414]"
98,98.0,0.848886468167513,"[0, 1.0975, 0.16666666666666666, 1.0658333333333334, 0.16666666666666666, 0.848886468167513]"
